iteration,value,desvio,tipo
0,61.89358169564823,16.720271120159868,TGC + ResNet18 + ResNet50
1,104.08204808030307,17.769878540833066,TGC + ResNet18 + ResNet50
2,170.05132186282347,32.46518565832572,TGC + ResNet18 + ResNet50
3,206.1852029724332,33.95530053793014,TGC + ResNet18 + ResNet50
4,271.5842245887896,40.32554668095146,TGC + ResNet18 + ResNet50
5,343.26955130259745,46.16862039525705,TGC + ResNet18 + ResNet50
6,411.7799525341464,51.29517696066322,TGC + ResNet18 + ResNet50
7,484.34488715091027,51.93559355910613,TGC + ResNet18 + ResNet50
8,535.375434471613,51.7520029308148,TGC + ResNet18 + ResNet50
9,615.8982220818809,70.40931862927063,TGC + ResNet18 + ResNet50
10,686.0968638218247,69.41081405403392,TGC + ResNet18 + ResNet50
11,743.33760550467,76.70890555396248,TGC + ResNet18 + ResNet50
12,796.92349979769,77.36209847905869,TGC + ResNet18 + ResNet50
13,853.7171013039822,81.84165391632274,TGC + ResNet18 + ResNet50
14,955.1771676018303,101.08667999342067,TGC + ResNet18 + ResNet50
15,1002.9596235683416,107.0867053600729,TGC + ResNet18 + ResNet50
16,1068.1595227187643,122.00342349697817,TGC + ResNet18 + ResNet50
17,1158.7697044374956,122.03159649448257,TGC + ResNet18 + ResNet50
18,1201.581804963941,122.34122502606337,TGC + ResNet18 + ResNet50
19,1244.8877640231146,122.93998732694236,TGC + ResNet18 + ResNet50
20,1290.475393358982,122.52523589004993,TGC + ResNet18 + ResNet50
21,1365.9531918974487,123.23267071534728,TGC + ResNet18 + ResNet50
22,1452.5184053550051,123.92501931486518,TGC + ResNet18 + ResNet50
23,1523.4184244321427,126.41108542355592,TGC + ResNet18 + ResNet50
24,1575.796687394815,128.01813718300534,TGC + ResNet18 + ResNet50
25,1618.4402279991752,127.79835959093126,TGC + ResNet18 + ResNet50
26,1661.5859620801123,130.27040206878797,TGC + ResNet18 + ResNet50
27,1712.6349163643931,132.96257605409252,TGC + ResNet18 + ResNet50
28,1765.312908645721,134.28174885295095,TGC + ResNet18 + ResNet50
29,1838.5969573264301,147.10887310736447,TGC + ResNet18 + ResNet50
30,1935.3500560529299,163.6568258910924,TGC + ResNet18 + ResNet50
31,1974.2802386103826,163.3309789171892,TGC + ResNet18 + ResNet50
32,2050.5718857691318,182.05387357786327,TGC + ResNet18 + ResNet50
33,2094.474190678609,183.56420080056574,TGC + ResNet18 + ResNet50
34,2141.7795479434244,185.1886826961662,TGC + ResNet18 + ResNet50
35,2228.418011205737,194.05308376356203,TGC + ResNet18 + ResNet50
36,2292.2552445324213,196.38787655035745,TGC + ResNet18 + ResNet50
37,2348.0410958675934,197.39559395765474,TGC + ResNet18 + ResNet50
38,2431.4562316637175,214.15522580203884,TGC + ResNet18 + ResNet50
39,2533.7373737344997,218.90592144755306,TGC + ResNet18 + ResNet50
40,2576.809016101139,218.40872390166737,TGC + ResNet18 + ResNet50
41,2637.9937963985594,218.32210998605223,TGC + ResNet18 + ResNet50
42,2683.722329471568,216.63823234579232,TGC + ResNet18 + ResNet50
43,2725.779244517615,217.0641644448624,TGC + ResNet18 + ResNet50
44,2788.4382729654626,215.15766845283605,TGC + ResNet18 + ResNet50
45,2912.2968434641216,229.7555669762513,TGC + ResNet18 + ResNet50
46,2970.7433485362285,231.65173424803015,TGC + ResNet18 + ResNet50
47,3015.3647513296523,232.53615587818996,TGC + ResNet18 + ResNet50
48,3091.5168871276865,228.84018782667022,TGC + ResNet18 + ResNet50
49,3133.8415802013787,230.82713391603744,TGC + ResNet18 + ResNet50
50,3176.5272812904086,230.97211445982953,TGC + ResNet18 + ResNet50
51,3224.6996636601634,235.71736711751896,TGC + ResNet18 + ResNet50
52,3258.8588286860872,235.5988500992571,TGC + ResNet18 + ResNet50
53,3329.7173954960226,235.93816449965863,TGC + ResNet18 + ResNet50
54,3403.772651896002,239.84600192858596,TGC + ResNet18 + ResNet50
55,3462.9170949441277,237.11570216960595,TGC + ResNet18 + ResNet50
56,3547.132510041211,254.46387851074513,TGC + ResNet18 + ResNet50
57,3635.071336033741,265.48117204803066,TGC + ResNet18 + ResNet50
58,3771.4930042811616,273.7615698958872,TGC + ResNet18 + ResNet50
59,3831.3360059494394,277.5918373316203,TGC + ResNet18 + ResNet50
60,3872.740650087315,279.2526808310302,TGC + ResNet18 + ResNet50
61,3968.5343310571966,278.1740129646947,TGC + ResNet18 + ResNet50
62,4114.285933173204,291.29210527606426,TGC + ResNet18 + ResNet50
63,4254.840417553136,303.28888080753507,TGC + ResNet18 + ResNet50
64,4367.083201323228,308.1875010807679,TGC + ResNet18 + ResNet50
65,4425.6309915072525,310.1841294786982,TGC + ResNet18 + ResNet50
66,4474.190003684468,312.0705449508883,TGC + ResNet18 + ResNet50
67,4534.043465932869,309.9255616579145,TGC + ResNet18 + ResNet50
68,4612.109293915201,311.74384320662125,TGC + ResNet18 + ResNet50
69,4656.887836917814,313.8467761310953,TGC + ResNet18 + ResNet50
70,4712.50363805464,314.59169575464995,TGC + ResNet18 + ResNet50
71,4767.7193721016865,320.3989983913856,TGC + ResNet18 + ResNet50
72,4845.871965510335,328.52991791212855,TGC + ResNet18 + ResNet50
73,4883.870450320428,330.18176831975967,TGC + ResNet18 + ResNet50
74,4937.642535658528,331.1886619878834,TGC + ResNet18 + ResNet50
75,5008.549303555425,335.4126069840426,TGC + ResNet18 + ResNet50
76,5089.954438125065,335.93283058923106,TGC + ResNet18 + ResNet50
77,5270.890703963588,347.92306927796415,TGC + ResNet18 + ResNet50
78,5326.524899659393,349.0204921408377,TGC + ResNet18 + ResNet50
79,5374.630878927531,350.4808646815185,TGC + ResNet18 + ResNet50
80,5425.1877627811255,350.1900733339407,TGC + ResNet18 + ResNet50
81,5491.593358163771,359.11290277538103,TGC + ResNet18 + ResNet50
82,5572.039436432852,368.7932276037558,TGC + ResNet18 + ResNet50
83,5675.045013410603,389.18741448647785,TGC + ResNet18 + ResNet50
84,5738.568523264511,395.128744219612,TGC + ResNet18 + ResNet50
85,5777.30492286768,397.3504286643123,TGC + ResNet18 + ResNet50
86,5848.21323529717,400.1054414025576,TGC + ResNet18 + ResNet50
87,5888.450250715367,402.58445122452054,TGC + ResNet18 + ResNet50
88,5964.361615435686,404.4276322691221,TGC + ResNet18 + ResNet50
89,6069.557943051544,409.27137852914905,TGC + ResNet18 + ResNet50
90,6110.69514308758,414.8657530960065,TGC + ResNet18 + ResNet50
91,6215.196126776593,407.2239798884269,TGC + ResNet18 + ResNet50
92,6300.404005337155,428.3292766223056,TGC + ResNet18 + ResNet50
93,6359.024902889849,429.3947737853129,TGC + ResNet18 + ResNet50
94,6678.629055203002,509.52446261094417,TGC + ResNet18 + ResNet50
95,6719.098556528049,509.03214398503667,TGC + ResNet18 + ResNet50
96,6766.084530201498,510.90017097974004,TGC + ResNet18 + ResNet50
97,6896.230973431442,507.3016366904314,TGC + ResNet18 + ResNet50
98,6947.59152738428,509.52888042928055,TGC + ResNet18 + ResNet50
99,6995.633149003453,507.8892167424645,TGC + ResNet18 + ResNet50
100,7041.721816463422,508.5425260679314,TGC + ResNet18 + ResNet50
101,7130.283304234473,508.30484397983366,TGC + ResNet18 + ResNet50
102,7179.182811566957,508.0214549815566,TGC + ResNet18 + ResNet50
103,7315.8661360153,519.3821492581083,TGC + ResNet18 + ResNet50
104,7366.915579309801,521.9913093781381,TGC + ResNet18 + ResNet50
105,7440.0653286852985,526.2619151556445,TGC + ResNet18 + ResNet50
106,7732.322210165564,589.9771445880555,TGC + ResNet18 + ResNet50
107,7844.744046328909,586.7214898164233,TGC + ResNet18 + ResNet50
108,7895.854954329129,591.1943475817658,TGC + ResNet18 + ResNet50
109,7928.428913624052,591.7482496645455,TGC + ResNet18 + ResNet50
110,8012.670425903195,601.1174995135818,TGC + ResNet18 + ResNet50
111,8051.955158402639,601.6013841656604,TGC + ResNet18 + ResNet50
112,8102.772500995078,602.5427414789854,TGC + ResNet18 + ResNet50
113,8154.728966228706,604.6555817898063,TGC + ResNet18 + ResNet50
114,8223.292128279494,611.7223170367818,TGC + ResNet18 + ResNet50
115,8319.671154720558,626.0045923676328,TGC + ResNet18 + ResNet50
116,8415.998445146679,647.1416482821728,TGC + ResNet18 + ResNet50
117,8522.859509430033,656.6609696117009,TGC + ResNet18 + ResNet50
118,8569.475615129537,654.1035435042278,TGC + ResNet18 + ResNet50
119,8636.427926943326,656.7440868982355,TGC + ResNet18 + ResNet50
120,8704.70783636876,662.1341135668353,TGC + ResNet18 + ResNet50
121,8781.113765677512,670.9957660948021,TGC + ResNet18 + ResNet50
122,8821.887715814053,670.9421275824516,TGC + ResNet18 + ResNet50
123,8889.935728739709,677.1857970533591,TGC + ResNet18 + ResNet50
124,8925.57463947928,679.1594787601604,TGC + ResNet18 + ResNet50
125,8989.363829933252,681.7555205095894,TGC + ResNet18 + ResNet50
126,9222.417824672797,707.1835366639425,TGC + ResNet18 + ResNet50
127,9321.979519459383,718.64577552796,TGC + ResNet18 + ResNet50
128,9341.88865049576,719.9568297921137,TGC + ResNet18 + ResNet50
129,9356.468258038152,719.9538503759566,TGC + ResNet18 + ResNet50
130,9374.75791494179,720.2270687304665,TGC + ResNet18 + ResNet50
131,9389.172679266816,719.9882101407434,TGC + ResNet18 + ResNet50
132,9404.792510451947,719.6637924379996,TGC + ResNet18 + ResNet50
133,9424.83300720831,720.085846142402,TGC + ResNet18 + ResNet50
134,9442.617829011388,720.3961312110206,TGC + ResNet18 + ResNet50
135,9459.299808302154,720.3148965786868,TGC + ResNet18 + ResNet50
136,9478.162635312336,720.9195417379808,TGC + ResNet18 + ResNet50
137,9495.564316440486,721.63228526285,TGC + ResNet18 + ResNet50
138,9512.43512357375,722.3721887259833,TGC + ResNet18 + ResNet50
139,9527.891636951716,722.9723519403831,TGC + ResNet18 + ResNet50
140,9546.807877639872,723.6292614176551,TGC + ResNet18 + ResNet50
141,9569.09034711156,725.3734468339898,TGC + ResNet18 + ResNet50
142,9586.973931072058,726.4042618205822,TGC + ResNet18 + ResNet50
143,9603.008348799525,727.1749886918291,TGC + ResNet18 + ResNet50
144,9624.306262515549,729.0778005436644,TGC + ResNet18 + ResNet50
145,9643.178360659267,729.7723764143755,TGC + ResNet18 + ResNet50
146,9660.197028756462,729.8887594269862,TGC + ResNet18 + ResNet50
147,9680.080016953794,730.5485655966534,TGC + ResNet18 + ResNet50
148,9697.812958727342,730.8502379033224,TGC + ResNet18 + ResNet50
149,9717.066973252084,730.8419564795681,TGC + ResNet18 + ResNet50
150,9732.591010032133,731.2172729585079,TGC + ResNet18 + ResNet50
