iteration,value,desvio,tipo
0,117.54136740120306,24.963760154024733,TGC-MetaSchedule
1,224.10938961412222,43.36031832396386,TGC-MetaSchedule
2,313.0467766787408,44.632635129795226,TGC-MetaSchedule
3,430.9491060324629,51.335279618637735,TGC-MetaSchedule
4,536.651419112625,55.05934388238171,TGC-MetaSchedule
5,677.8432996833731,65.83586757333701,TGC-MetaSchedule
6,765.0527095935616,67.39254957452746,TGC-MetaSchedule
7,839.5621898866146,68.3986152308415,TGC-MetaSchedule
8,928.3031565806751,69.48006816059521,TGC-MetaSchedule
9,1017.8799619313321,71.2319069872751,TGC-MetaSchedule
10,1105.4125252244216,74.20330410631541,TGC-MetaSchedule
11,1228.471908248769,82.37648902190391,TGC-MetaSchedule
12,1365.1218966252216,89.34820144806353,TGC-MetaSchedule
13,1472.6548675206566,99.14689813628566,TGC-MetaSchedule
14,1580.0280179083356,105.75353077640744,TGC-MetaSchedule
15,1695.9499807272177,115.80620910442946,TGC-MetaSchedule
16,1799.2578430071449,116.7966350174988,TGC-MetaSchedule
17,1901.7132818841594,119.10045891973338,TGC-MetaSchedule
18,1999.8302867654324,121.30291834496728,TGC-MetaSchedule
19,2080.49759765835,122.36422684375091,TGC-MetaSchedule
20,2162.652735651018,124.43497097864642,TGC-MetaSchedule
21,2257.86193034167,128.07232504247398,TGC-MetaSchedule
22,2331.1491864371455,128.669073229572,TGC-MetaSchedule
23,2445.404715934978,132.0332187239366,TGC-MetaSchedule
24,2561.574463807164,138.17170515010162,TGC-MetaSchedule
25,2642.916972122987,139.0291969807761,TGC-MetaSchedule
26,2748.322911602973,142.3180088068207,TGC-MetaSchedule
27,2833.3088028992124,143.05152963960853,TGC-MetaSchedule
28,2914.628410031269,146.12338188149255,TGC-MetaSchedule
29,3006.2613266402805,148.82323440823424,TGC-MetaSchedule
30,3106.299541677546,152.04301183718655,TGC-MetaSchedule
31,3196.5738716414853,154.75853207316143,TGC-MetaSchedule
32,3342.944385527609,169.7780765098712,TGC-MetaSchedule
33,3457.785299314524,174.9184055820665,TGC-MetaSchedule
34,3532.5415161200663,176.63439579923073,TGC-MetaSchedule
35,3600.6555199072577,177.0914438582441,TGC-MetaSchedule
36,3723.754893934519,182.26268328041627,TGC-MetaSchedule
37,3834.073877818097,185.80263546132124,TGC-MetaSchedule
38,3914.6900632780885,187.2185741209142,TGC-MetaSchedule
39,3990.6184988837226,188.1155853828638,TGC-MetaSchedule
40,4083.4925415605794,189.70913777633265,TGC-MetaSchedule
41,4196.6636816896535,194.79499285841123,TGC-MetaSchedule
42,4291.054736456146,197.74241719067987,TGC-MetaSchedule
43,4376.935440117491,201.26961078740226,TGC-MetaSchedule
44,4489.015953935415,204.62170823581536,TGC-MetaSchedule
45,4564.909163009782,206.23919379492887,TGC-MetaSchedule
46,4646.853873083371,207.3268592846457,TGC-MetaSchedule
47,4724.746290422645,208.2380224194258,TGC-MetaSchedule
48,4841.14327129799,216.6058096514093,TGC-MetaSchedule
