name,value,tipo
AlexNet,83.33333333333334,TGC-Ansor
DenseNet121,86.11111111111111,TGC-Ansor
GoogleNet,90.1639344262295,TGC-Ansor
InceptionV3,78.18181818181819,TGC-Ansor
MobileNetV2,28.125,TGC-Ansor
MobileNetV3,23.076923076923077,TGC-Ansor
ResNet18,44.44444444444444,TGC-Ansor
ResNet50,100.0,TGC-Ansor
ResNet152,100.0,TGC-Ansor
ResNeXt50,74.07407407407408,TGC-Ansor
VGG16,61.111111111111114,TGC-Ansor
WideResNet50,100.0,TGC-Ansor
AlexNet,100.0,TGC-MetaSchedule
DenseNet121,49.275362318840585,TGC-MetaSchedule
GoogleNet,98.87640449438202,TGC-MetaSchedule
InceptionV3,90.54054054054053,TGC-MetaSchedule
MobileNetV2,48.93617021276596,TGC-MetaSchedule
MobileNetV3,53.42465753424658,TGC-MetaSchedule
ResNet18,95.83333333333334,TGC-MetaSchedule
ResNet50,100.0,TGC-MetaSchedule
ResNet152,97.14285714285714,TGC-MetaSchedule
ResNeXt50,100.0,TGC-MetaSchedule
VGG16,100.0,TGC-MetaSchedule
WideResNet50,100.0,TGC-MetaSchedule
