name,value,tipo
AlexNet,83.33333333333334,CPU-Ansor
DenseNet121,86.11111111111111,CPU-Ansor
GoogleNet,90.1639344262295,CPU-Ansor
InceptionV3,78.18181818181819,CPU-Ansor
MobileNetV2,28.125,CPU-Ansor
MobileNetV3,23.076923076923077,CPU-Ansor
ResNet18,44.44444444444444,CPU-Ansor
ResNet50,100.0,CPU-Ansor
ResNet152,100.0,CPU-Ansor
ResNeXt50,74.07407407407408,CPU-Ansor
VGG16,61.111111111111114,CPU-Ansor
WideResNet50,100.0,CPU-Ansor
AlexNet,100.0,CPU-MetaSchedule
DenseNet121,49.275362318840585,CPU-MetaSchedule
GoogleNet,98.87640449438202,CPU-MetaSchedule
InceptionV3,90.54054054054053,CPU-MetaSchedule
MobileNetV2,48.93617021276596,CPU-MetaSchedule
MobileNetV3,53.42465753424658,CPU-MetaSchedule
ResNet18,95.83333333333334,CPU-MetaSchedule
ResNet50,100.0,CPU-MetaSchedule
ResNet152,97.14285714285714,CPU-MetaSchedule
ResNeXt50,100.0,CPU-MetaSchedule
VGG16,100.0,CPU-MetaSchedule
WideResNet50,100.0,CPU-MetaSchedule
AlexNet,100.0,GPU-MetaSchedule
DenseNet121,49.275362318840585,GPU-MetaSchedule
GoogleNet,98.87640449438202,GPU-MetaSchedule
InceptionV3,90.54054054054053,GPU-MetaSchedule
MobileNetV2,48.93617021276596,GPU-MetaSchedule
MobileNetV3,47.94520547945205,GPU-MetaSchedule
ResNet18,95.83333333333334,GPU-MetaSchedule
ResNet50,100.0,GPU-MetaSchedule
ResNet152,97.14285714285714,GPU-MetaSchedule
ResNeXt50,88.57142857142857,GPU-MetaSchedule
VGG16,100.0,GPU-MetaSchedule
WideResNet50,100.0,GPU-MetaSchedule
