approach, model_name, tuning_mean, tuning_std
TVM-MetaSchedule,InceptionV3,583.1753685879706,20.075907046272462
TGC-MetaSchedule,InceptionV3,214.85886818647387,4.535708051473117
TVM-MetaSchedule,MobileNetV3,571.1216120449702,29.9464227684303
TGC-MetaSchedule,MobileNetV3,209.09890592416127,2.3608656158856083
TVM-MetaSchedule,ResNeXt50,309.1585192100207,30.35868486665225
TGC-MetaSchedule,ResNeXt50,105.26395219326021,1.346233991471968
TVM-MetaSchedule,ResNet18,213.33384060700732,9.676152944688255
TGC-MetaSchedule,ResNet18,74.36120132048924,2.2352831076872652
TVM-MetaSchedule,AlexNet,237.49898347298304,6.242253172586578
TGC-MetaSchedule,AlexNet,78.43456493059793,1.9098759210500629
TVM-MetaSchedule,WideResNet50,323.20287681023285,23.48903387686927
TGC-MetaSchedule,WideResNet50,113.4634971356392,0.9432060178343681
TVM-MetaSchedule,MobileNetV2,356.62854117314026,27.823319847525383
TGC-MetaSchedule,MobileNetV2,118.94164165814718,9.42728539757493
TVM-MetaSchedule,GoogleNet,686.7373941405615,15.012295636803936
TGC-MetaSchedule,GoogleNet,261.93796404838565,4.175917192782573
TVM-MetaSchedule,VGG16,306.17975036382677,8.159690914105376
TGC-MetaSchedule,VGG16,97.7025508125623,1.0180484925972564
TVM-MetaSchedule,DenseNet121,1160.244077805678,70.77646996608183
TGC-MetaSchedule,DenseNet121,395.0081581266721,5.2407309516762295
TVM-MetaSchedule,ResNet152,351.30082995176315,4.544160783207529
TGC-MetaSchedule,ResNet152,112.38650927305221,1.843847401549567
TVM-MetaSchedule,ResNet50,314.26993201255806,12.286292336461248
TGC-MetaSchedule,ResNet50,111.24135605573656,0.8350140161768179

