approach, model_name, tuning_mean, tuning_std
TGC-CPU,InceptionV3,209.72149060964585,0.0
TVM-CPU,InceptionV3,599.7447226126989,0.0
TGC-GPU,InceptionV3,411.39063649574916,0.0
TVM-GPU,InceptionV3,1391.128514313698,0.0
TGC-CPU,MobileNetV3,211.21392959356308,0.0
TVM-CPU,MobileNetV3,551.727949444453,0.0
TGC-GPU,MobileNetV3,335.4252942164739,0.0
TVM-GPU,MobileNetV3,1002.5960150639216,0.0
TGC-CPU,ResNeXt50,104.7932226618131,0.0
TVM-CPU,ResNeXt50,275.190122906367,0.0
TGC-GPU,ResNeXt50,178.4717871983846,0.0
TVM-GPU,ResNeXt50,541.916192984581,0.0
TGC-CPU,ResNet18,71.6881788055102,0.0
TVM-CPU,ResNet18,206.81466315984727,0.0
TGC-GPU,ResNet18,139.31722816228867,0.0
TVM-GPU,ResNet18,478.4511209011078,0.0
TGC-CPU,AlexNet,75.55550972620647,0.0
TVM-CPU,AlexNet,234.47881404558817,0.0
TGC-GPU,AlexNet,164.30154616435368,0.0
TVM-GPU,AlexNet,437.4344898700714,0.0
TGC-CPU,WideResNet50,113.14736437400182,0.0
TVM-CPU,WideResNet50,287.42792925437294,0.0
TGC-GPU,WideResNet50,206.90264606078466,0.0
TVM-GPU,WideResNet50,611.9181332389513,0.0
TGC-CPU,MobileNetV2,111.94231381018956,0.0
TVM-CPU,MobileNetV2,325.4681556105614,0.0
TGC-GPU,MobileNetV2,217.15284080902737,0.0
TVM-GPU,MobileNetV2,626.5664301832517,0.0
TGC-CPU,GoogleNet,253.8548048655192,0.0
TVM-CPU,GoogleNet,694.2699692765872,0.0
TGC-GPU,GoogleNet,484.7923940459887,0.0
TVM-GPU,GoogleNet,1537.2919701536496,0.0
TGC-CPU,VGG16,96.18825610081355,0.0
TVM-CPU,VGG16,302.20565798679985,0.0
TGC-GPU,VGG16,175.20503995815912,0.0
TVM-GPU,VGG16,332.8780806620916,0.0
TGC-CPU,DenseNet121,395.0081581266721,5.2407309516762295
TVM-CPU,DenseNet121,1160.244077805678,70.77646996608183
TGC-GPU,DenseNet121,696.7437666185697,9.608507719750529
TVM-GPU,DenseNet121,2117.408101352851,17.292123047803283
TGC-CPU,ResNet152,113.15622462034226,0.0
TVM-CPU,ResNet152,348.4500534812609,0.0
TGC-GPU,ResNet152,182.54581645329793,0.0
TVM-GPU,ResNet152,553.0314440449079,0.0
TGC-CPU,ResNet50,110.76087524096171,0.0
TVM-CPU,ResNet50,318.610482998689,0.0
TGC-GPU,ResNet50,180.87183906237286,0.0
TVM-GPU,ResNet50,587.7809571504592,0.0
