approach, model_name, tuning_mean, tuning_std
TGC-Ansor,InceptionV3,308.4100389583906,8.646899099088282
TVM-Ansor,InceptionV3,770.0193730870883,43.286266504124264
TGC-Ansor,MobileNetV3,256.2543815167745,15.489820482401761
TVM-Ansor,MobileNetV3,735.6888461780549,26.621581223929173
TGC-Ansor,ResNeXt50,150.92566637913384,2.230142443992359
TVM-Ansor,ResNeXt50,420.8331664411227,9.891350671229294
TGC-Ansor,ResNet18,112.28885608990988,8.084711690559612
TVM-Ansor,ResNet18,287.07473351875944,17.71031222149687
TGC-Ansor,AlexNet,74.9948210589091,4.028238809486483
TVM-Ansor,AlexNet,183.52503273646036,13.483404294190011
TGC-Ansor,WideResNet50,167.9786376873652,2.6006668989973547
TVM-Ansor,WideResNet50,469.476552280585,3.6323104950817893
TGC-Ansor,MobileNetV2,149.83714281717934,12.399987347979897
TVM-Ansor,MobileNetV2,408.8111552898089,21.835921922415583
TGC-Ansor,GoogleNet,351.38244593381876,6.576244207889443
TVM-Ansor,GoogleNet,987.7219281069438,35.794000449603274
TGC-Ansor,VGG16,144.78575115998586,2.4251215389659597
TVM-Ansor,VGG16,392.7007931836446,7.829987191246141
TGC-Ansor,DenseNet121,392.0662135823568,8.360803308526215
TVM-Ansor,DenseNet121,1078.486023829778,11.103355386735712
TGC-Ansor,ResNet152,144.6570905184746,3.2447655005543177
TVM-Ansor,ResNet152,418.5183486143748,4.894426866531424
TGC-Ansor,ResNet50,142.6880007648468,8.143277298335665
TVM-Ansor,ResNet50,398.1741489402453,12.300893473525894
TGC-MetaSchedule,InceptionV3,214.85886818647387,4.535708051473117
TVM-MetaSchedule,InceptionV3,583.1753685879706,20.075907046272462
TGC-MetaSchedule,MobileNetV3,209.09890592416127,2.3608656158856083
TVM-MetaSchedule,MobileNetV3,571.1216120449702,29.9464227684303
TGC-MetaSchedule,ResNeXt50,105.26395219326021,1.346233991471968
TVM-MetaSchedule,ResNeXt50,309.1585192100207,30.35868486665225
TGC-MetaSchedule,ResNet18,74.36120132048924,2.2352831076872652
TVM-MetaSchedule,ResNet18,213.33384060700732,9.676152944688255
TGC-MetaSchedule,AlexNet,78.43456493059793,1.9098759210500629
TVM-MetaSchedule,AlexNet,237.49898347298304,6.242253172586578
TGC-MetaSchedule,WideResNet50,113.4634971356392,0.9432060178343681
TVM-MetaSchedule,WideResNet50,323.20287681023285,23.48903387686927
TGC-MetaSchedule,MobileNetV2,118.94164165814718,9.42728539757493
TVM-MetaSchedule,MobileNetV2,356.62854117314026,27.823319847525383
TGC-MetaSchedule,GoogleNet,261.93796404838565,4.175917192782573
TVM-MetaSchedule,GoogleNet,686.7373941405615,15.012295636803936
TGC-MetaSchedule,VGG16,97.7025508125623,1.0180484925972564
TVM-MetaSchedule,VGG16,306.17975036382677,8.159690914105376
TGC-MetaSchedule,DenseNet121,738.1523273913065,5.611026045237215
TVM-MetaSchedule,DenseNet121,2188.1200671188035,180.24960125899838
TGC-MetaSchedule,ResNet152,112.38650927305221,1.843847401549567
TVM-MetaSchedule,ResNet152,351.30082995176315,4.544160783207529
TGC-MetaSchedule,ResNet50,111.24135605573656,0.8350140161768179
TVM-MetaSchedule,ResNet50,314.26993201255806,12.286292336461248
